timestamp,endpoint,operation,ano_inicio,ano_fim,mes_inicio,mes_fim,tempo_total_segundos,tempo_scraping_segundos,tempo_processamento_segundos,numero_registros,sucesso,erro_descricao,id_consulta,thread_id,Biblioteca
2025-07-08T21:24:57.148640,/consultar,consulta_assincrona_ano,2005,2005,JANEIRO,DEZEMBRO,22.91082525253296,22.91082525253296,0.0,89,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:25:18.745160,/consultar,consulta_assincrona_ano,2006,2006,JANEIRO,DEZEMBRO,21.59281611442566,21.59281611442566,0.0,79,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:25:40.415920,/consultar,consulta_assincrona_ano,2007,2007,JANEIRO,DEZEMBRO,21.66710591316223,21.66710591316223,0.0,73,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:26:02.986930,/consultar,consulta_assincrona_ano,2008,2008,JANEIRO,DEZEMBRO,22.567418575286865,22.567418575286865,0.0,82,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:26:25.410259,/consultar,consulta_assincrona_ano,2009,2009,JANEIRO,DEZEMBRO,22.41960072517395,22.41960072517395,0.0,83,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:26:48.557047,/consultar,consulta_assincrona_ano,2010,2010,JANEIRO,DEZEMBRO,23.143160104751587,23.143160104751587,0.0,78,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:27:11.239054,/consultar,consulta_assincrona_ano,2011,2011,JANEIRO,DEZEMBRO,22.678794384002686,22.678794384002686,0.0,79,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:27:34.252541,/consultar,consulta_assincrona_ano,2012,2012,JANEIRO,DEZEMBRO,23.01040029525757,23.01040029525757,0.0,92,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:27:54.921319,/consultar,consulta_assincrona_ano,2013,2013,JANEIRO,DEZEMBRO,20.66503357887268,20.66503357887268,0.0,103,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:28:17.418088,/consultar,consulta_assincrona_ano,2014,2014,JANEIRO,DEZEMBRO,22.493701934814453,22.493701934814453,0.0,99,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:28:38.275063,/consultar,consulta_assincrona_ano,2015,2015,JANEIRO,DEZEMBRO,20.853335857391357,20.853335857391357,0.0,89,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:28:59.661224,/consultar,consulta_assincrona_ano,2016,2016,JANEIRO,DEZEMBRO,21.382458925247192,21.382458925247192,0.0,70,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:29:22.200477,/consultar,consulta_assincrona_ano,2017,2017,JANEIRO,DEZEMBRO,22.535783529281616,22.535783529281616,0.0,68,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:29:43.545908,/consultar,consulta_assincrona_ano,2018,2018,JANEIRO,DEZEMBRO,21.34171986579895,21.34171986579895,0.0,67,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
2025-07-08T21:30:06.084701,/consultar,consulta_assincrona_ano,2019,2019,JANEIRO,DEZEMBRO,22.535183906555176,22.535183906555176,0.0,63,True,,6e511aff-5f75-439e-9e7b-40a84ae9cd9b,Thread-62 (_executar_consulta_sequencial),Selenium
